| Rank | Team Name            | Wins | Draws | Losses | Goals Scored | Goals Conceded | Points | Goal Difference |
|------|----------------------|------|-------|--------|--------------|----------------|--------|-----------------|
| 1    | Team 741             |   26 |     7 |      0 |           81 |             32 |     85 |              49 |
| 2    | Team 175             |   27 |     3 |      3 |           31 |             28 |     84 |               3 |
| 3    | Team 357             |   25 |     8 |      0 |           70 |             30 |     83 |              40 |
| 4    | Team 33              |   27 |     2 |      4 |           37 |             45 |     83 |              -8 |
| 5    | Team 299             |   25 |     7 |      1 |           51 |             32 |     82 |              19 |
| 6    | Team 318             |   25 |     7 |      1 |           50 |             54 |     82 |              -4 |
| 7    | Team 538             |   25 |     7 |      1 |           39 |             62 |     82 |             -23 |
| 8    | Team 851             |   27 |     0 |      6 |           58 |             38 |     81 |              20 |
| 9    | Team 892             |   24 |     9 |      0 |           47 |             52 |     81 |              -5 |
| 10   | Team 210             |   24 |     8 |      1 |           50 |             25 |     80 |              25 |
| 11   | Team 416             |   26 |     2 |      5 |           35 |             28 |     80 |               7 |
| 12   | Team 623             |   25 |     5 |      3 |           42 |             37 |     80 |               5 |
| 13   | Team 460             |   23 |     9 |      1 |           37 |             44 |     78 |              -7 |
| 14   | Team 932             |   24 |     6 |      3 |           35 |             43 |     78 |              -8 |
| 15   | Team 968             |   24 |     6 |      3 |           55 |             64 |     78 |              -9 |
| 16   | Team 981             |   24 |     5 |      4 |           53 |             28 |     77 |              25 |
| 17   | Team 877             |   24 |     5 |      4 |           40 |             24 |     77 |              16 |
| 18   | Team 951             |   22 |    11 |      0 |           40 |             31 |     77 |               9 |
| 19   | Team 898             |   22 |    11 |      0 |           37 |             39 |     77 |              -2 |
| 20   | Team 770             |   23 |     8 |      2 |           41 |             49 |     77 |              -8 |
| 21   | Team 163             |   22 |    11 |      0 |           45 |             58 |     77 |             -13 |
| 22   | Team 418             |   24 |     4 |      5 |           67 |             36 |     76 |              31 |
| 23   | Team 916             |   24 |     4 |      5 |           50 |             30 |     76 |              20 |
| 24   | Team 186             |   23 |     7 |      3 |           68 |             52 |     76 |              16 |
| 25   | Team 656             |   23 |     7 |      3 |           35 |             22 |     76 |              13 |
| 26   | Team 749             |   24 |     4 |      5 |           41 |             32 |     76 |               9 |
| 27   | Team 76              |   25 |     1 |      7 |           46 |             63 |     76 |             -17 |
| 28   | Team 372             |   23 |     7 |      3 |           31 |             66 |     76 |             -35 |
| 29   | Team 939             |   21 |    12 |      0 |           55 |             26 |     75 |              29 |
| 30   | Team 317             |   23 |     6 |      4 |           50 |             32 |     75 |              18 |
| 31   | Team 343             |   23 |     6 |      4 |           36 |             25 |     75 |              11 |
| 32   | Team 778             |   21 |    12 |      0 |           38 |             29 |     75 |               9 |
| 33   | Team 803             |   21 |    12 |      0 |           45 |             37 |     75 |               8 |
| 34   | Team 332             |   21 |    12 |      0 |           50 |             44 |     75 |               6 |
| 35   | Team 407             |   24 |     3 |      6 |           35 |             35 |     75 |               0 |
| 36   | Team 733             |   21 |    12 |      0 |           36 |             45 |     75 |              -9 |
| 37   | Team 670             |   22 |     9 |      2 |           50 |             62 |     75 |             -12 |
| 38   | Team 342             |   22 |     8 |      3 |           59 |             24 |     74 |              35 |
| 39   | Team 975             |   21 |    11 |      1 |           54 |             33 |     74 |              21 |
| 40   | Team 544             |   21 |    11 |      1 |           56 |             41 |     74 |              15 |
| 41   | Team 834             |   22 |     8 |      3 |           32 |             25 |     74 |               7 |
| 42   | Team 331             |   23 |     5 |      5 |           35 |             30 |     74 |               5 |
| 43   | Team 310             |   23 |     5 |      5 |           49 |             47 |     74 |               2 |
| 44   | Team 561             |   23 |     5 |      5 |           48 |             65 |     74 |             -17 |
| 45   | Team 122             |   24 |     2 |      7 |           39 |             62 |     74 |             -23 |
| 46   | Team 138             |   21 |    11 |      1 |           44 |             70 |     74 |             -26 |
| 47   | Team 218             |   21 |    10 |      2 |           62 |             20 |     73 |              42 |
| 48   | Team 249             |   20 |    13 |      0 |           59 |             28 |     73 |              31 |
| 49   | Team 557             |   22 |     7 |      4 |           65 |             38 |     73 |              27 |
| 50   | Team 525             |   21 |    10 |      2 |           46 |             20 |     73 |              26 |
| 51   | Team 651             |   22 |     7 |      4 |           44 |             24 |     73 |              20 |
| 52   | Team 810             |   22 |     7 |      4 |           51 |             35 |     73 |              16 |
| 53   | Team 326             |   22 |     7 |      4 |           44 |             32 |     73 |              12 |
| 54   | Team 502             |   21 |    10 |      2 |           54 |             47 |     73 |               7 |
| 55   | Team 950             |   21 |    10 |      2 |           49 |             45 |     73 |               4 |
| 56   | Team 857             |   22 |     7 |      4 |           47 |             48 |     73 |              -1 |
| 57   | Team 340             |   20 |    13 |      0 |           38 |             42 |     73 |              -4 |
| 58   | Team 691             |   23 |     4 |      6 |           34 |             41 |     73 |              -7 |
| 59   | Team 849             |   20 |    13 |      0 |           34 |             49 |     73 |             -15 |
| 60   | Team 473             |   20 |    13 |      0 |           36 |             52 |     73 |             -16 |
| 61   | Team 952             |   20 |    12 |      1 |           64 |             39 |     72 |              25 |
| 62   | Team 633             |   23 |     3 |      7 |           59 |             39 |     72 |              20 |
| 63   | Team 730             |   21 |     9 |      3 |           39 |             32 |     72 |               7 |
| 64   | Team 653             |   22 |     6 |      5 |           42 |             37 |     72 |               5 |
| 65   | Team 32              |   20 |    12 |      1 |           42 |             39 |     72 |               3 |
| 66   | Team 714             |   23 |     3 |      7 |           37 |             44 |     72 |              -7 |
